name,mw,logP,fup,rbp,clint_3a4_uL_min_pmol,peff_cm_s
midazolam,325.8,3.89,0.035,0.55,11.2,2.8e-4
warfarin,308.3,2.70,0.005,0.72,0.9,1.5e-4
propranolol,259.3,3.48,0.13,0.83,11.0,3.2e-4
metformin,129.2,-1.43,1.00,0.95,0.01,0.06e-4
caffeine,194.2,-0.07,0.65,0.72,0.5,0.9e-4
alprazolam,308.8,2.12,0.20,0.72,2.1,2.2e-4
diazepam,284.7,2.82,0.015,0.68,0.8,2.5e-4
amlodipine,408.9,3.00,0.07,0.92,3.5,1.8e-4
atorvastatin,558.6,4.06,0.02,0.85,20.0,0.9e-4
carbamazepine,236.3,2.45,0.25,0.72,1.2,1.7e-4
celecoxib,381.4,3.51,0.025,0.72,5.1,1.6e-4
clopidogrel,321.8,2.21,0.02,0.72,8.3,1.8e-4
codeine,299.4,1.19,0.25,0.72,0.2,1.0e-4
dextromethorphan,271.4,3.37,0.17,0.72,4.5,2.1e-4
erythromycin,733.9,3.06,0.27,0.82,6.8,0.3e-4
fluconazole,306.3,0.50,0.89,0.75,0.4,1.2e-4
ibuprofen,206.3,3.97,0.005,0.72,0.4,2.5e-4
imipramine,280.4,4.28,0.11,0.80,6.0,2.9e-4
ketoconazole,531.4,4.35,0.015,0.80,9.5,1.1e-4
lansoprazole,369.4,2.72,0.02,0.72,4.8,1.9e-4
metoprolol,267.4,1.88,0.88,0.72,1.2,1.8e-4
nifedipine,346.3,2.20,0.045,0.72,14.0,2.0e-4
omeprazole,345.4,2.23,0.05,0.72,5.5,1.6e-4
simvastatin,418.6,4.68,0.05,0.80,28.0,1.2e-4
verapamil,454.6,3.79,0.10,0.90,8.2,2.5e-4
