canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,name,n_studies
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,20.0,0.2359595014589781,-1.9281925257539347,tasimelteon,7
Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,100.0,8.384317297178903,-1.0765322945532851,roxadustat,6
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,40.0,2.452206530817404,-1.2125029466002386,azilsartan,6
CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,10.0,0.16879441091964625,-1.7726419377277944,tadalafil,6
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,50.0,0.23065104906823403,-2.336014570089288,losartan,5
CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,50.0,0.30822664704755476,-2.2100998223694095,losartan carboxylic acid (e-3174),5
CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,0.25,0.0018466596372557053,-2.1315531518258344,siponimod,5
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,400.0,3.918968085996581,-2.008888264500029,gatifloxacin,5
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1000.0,19.614836124170495,-1.7074153159140413,tinidazole,5
Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,100.0,0.06045782018485688,-3.2185475154240697,mirabegron,5
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,40.0,0.016035221494813127,-3.396985028104305,atorvastatin,5
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,40.0,0.00885921411988956,-3.6546647929773752,simvastatin,5
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,36.0,0.144713590679814,-2.395793181257912,melagatran,5
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,10.0,0.1705367387794138,-1.7681820464051825,apixaban,5
