drug,smiles,dose_mg,cmax_mg_L,source,tier
abacavir,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,600.0,3.67,gold,gold
acetaminophen,CC(=O)Nc1ccc(O)cc1,1000.0,15.18,gold_clinical,gold_clinical
adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,10.0,0.0233,fda_expanded,fda_expanded
alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,4.0,0.005,gold,gold
amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,45.0,15.7,fda_expanded,fda_expanded
amphetamine,CC(CC1=CC=CC=C1)N,18.8,0.0449,gold,gold
atazanavir,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,300.0,3.19,fda_expanded,fda_expanded
atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,50.0,0.38,gold,gold
atorvastatin,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccccc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1,40.0,0.011696691832031822,gold,gold
azacitidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,300.0,0.145,gold,gold
azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,500.0,0.5,gold,gold
belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,20.0,1.5,fda_expanded,fda_expanded
brincidofovir,CCCCCCCCCCCCCCCCOCCCOP(=O)(COC(CN1C=CC(=NC1=O)N)CO)O,200.0,0.48,fda_expanded,fda_expanded
butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,650.0,8.8,fda_expanded,fda_expanded
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.0,6.0,fda_expanded,fda_expanded
carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,200.0,1.363620486949499,gold,gold
carglumic acid,C(CC(=O)O)C(C(=O)O)NC(=O)N,100.0,8.613,gold,gold
carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,350.0,8.0,gold,gold
cefixime,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,200.0,3.7,gold,gold
cefpodoxime proxetil,CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CSC(=N3)N)COC,100.0,3.1,gold,gold
cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,60.0,0.311,fda_expanded,fda_expanded
ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,50.0,2.97,gold,gold
ciprofolxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCC(C4)NN5CCNCC5)F)C(=O)O,50.0,2.97,gold,gold
clarithromycin,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,500.0,0.8,gold,gold
clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,300.0,0.3,gold,gold
clopidogrel bisulfate,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O,300.0,0.3,gold,gold
clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,75.0,0.413,gold,gold
codeine,COc1ccc2CC3N(C)CCC4=CC1OC24C3O,60.0,0.22871104,pkdb_expanded,pkdb_expanded
cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,10.0,0.0259,fda_expanded,fda_expanded
d_amphetamine,C[C@@H](N)Cc1ccccc1,20.0,0.05038915383238274,gold,gold
darifenacin,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5,400.0,0.0112,fda_expanded,fda_expanded
darolutamide,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,600.0,4.79,gold,gold
darunavir ethanolate,CCO.CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,100.0,7.32,fda_expanded,fda_expanded
dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,100.0,0.0822,gold,gold
desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,5.0,0.004,gold,gold
dextroamphetamine,CC(CC1=CC=CC=C1)N,5.0,0.0366,fda_expanded,fda_expanded
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,10.0,0.12140377259227488,gold,gold
diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,25.0,0.024,gold,gold
digoxin,C[C@@H]1O[C@@H](O[C@@H]2C[C@H](O)[C@@H](O[C@@H]3C[C@H](O)[C@@H](O[C@@H]4C[C@H](O)[C@@H](OC5CC(CO)=CC(=O)O5)C(C)O4)C(C)O3)C(C)O2)C[C@H](O)[C@H]1O,0.5,0.0006939513865382899,gold,gold
efavirenz,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,300.0,6.57,gold,gold
ensartinib,CC1CN(CC(N1)C)C(=O)C2=CC=C(C=C2)NC(=O)C3=NN=C(C(=C3)OC(C)C4=C(C=CC(=C4Cl)F)Cl)N,200.0,0.292,fda_expanded,fda_expanded
entacapone,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,200.0,1.2,gold,gold
entecavir,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N,1.0,0.0042,gold,gold
etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,600.0,14.0,fda_expanded,fda_expanded
ezetimibe,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,10.0,0.0034,gold,gold
famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,20.0,0.073,fda_expanded,fda_expanded
fesoterodine,CC(C)C(=O)OC1=C(C=C(C=C1)CO)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2,8.0,0.00189,gold,gold
fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,200.0,6.72,gold,gold
fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,20.0,0.00628802772483203,gold,gold
flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,200.0,0.0252,gold,gold
fruquintinib,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,6.0,0.3,fda_expanded,fda_expanded
