drug,smiles,dose_mg,obs_cmax,pred_cmax_pbpk,log_obs_cmax_per_mg,tier
adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,10.0,0.0233,,-6.061887011404528,fda_expanded
amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,45.0,15.7,,-1.0530017774160574,fda_expanded
atazanavir,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,300.0,3.19,,-4.5437615578594475,fda_expanded
bedaquiline,CN(C)CCC(C1=CC=CC2=CC=CC=C21)(C(C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O,400.0,0.001,,-12.89921982609012,fda_expanded
belzutifan,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,20.0,1.5,,-2.5902671654458267,fda_expanded
brincidofovir,CCCCCCCCCCCCCCCCOCCCOP(=O)(COC(CN1C=CC(=NC1=O)N)CO)O,200.0,0.48,,-6.032286541628237,fda_expanded
butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,650.0,8.8,,-4.302220641405522,fda_expanded
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.0,6.0,,-0.5108256237659907,fda_expanded
cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,60.0,0.311,,-5.262306929025003,fda_expanded
colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,400.0,0.003,,-11.800607537422009,fda_expanded
cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,10.0,0.0259,,-5.95609740327069,fda_expanded
darifenacin,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5,400.0,0.0112,,-10.48330604778907,fda_expanded
darunavir ethanolate,CCO.CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,100.0,7.32,,-2.614559858014871,fda_expanded
