name,canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,tmax_h,thalf_h,auc_ng_h_ml,f_pct,formulation,is_prodrug,in_holdout
norgestrel,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.3,0.0104999999999999,-1.4559319556497285,1,1.63,38.19,188.31,,tablet,False,False
ethinamate,C#CC1(OC(N)=O)CCCCC1,1000.0,5.9,-2.2291479883578558,1,1.0,2.25,24830.0,,,False,False
selegiline,C#CCN(C)[C@H](C)Cc1ccccc1,10.0,0.0022099773754498,-3.655612172363578,2,0.88,1.2,4.145,4.28,tablet,False,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,2.0,0.0116080155884018,-2.2362720130199376,4,0.4499999999999999,2.13,9.204999999999998,36.0,tablet,False,False
Islatravir,C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,100.0,0.93843,-2.027598117019765,1,0.5,58.9,3431.12,,suspension,False,False
norethisterone (norethindrone),C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.5,0.0054999999999999,-1.9586073148417829,1,1.0,,,,tablet,False,False
levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.75,0.0110620251310508,-1.8312266226137974,2,1.9,23.08,139.43,,tablet,False,False
danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,100.0,0.037,-3.431798275933005,1,2.5,,204.0,,capsule,False,False
tibolone,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,2.5,0.0014696938456699,-3.2307131330965744,2,1.55,,,,tablet,False,False
erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,150.0,1.233599269314674,-2.084917155589963,4,2.55,14.225,26319.0,59.0,tablet,False,False
Icotinib,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,100.0,0.728,-2.137868620686963,1,1.0,6.02,3220.0,,tablet,False,False
cinnarizine,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,25.0,0.03539,-2.8490594460345227,1,2.2,29.48,370.1,,tablet,False,False
huperzine a,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,0.99,0.0084,-2.0713559085356685,1,1.33,4.8,68.33,,tablet,False,False
perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,300.0,0.09944,-3.479560139086074,1,6.0,11.34,2050.0,,tablet,False,False
rilmenidine,C1COC(NC(C2CC2)C2CC2)=N1,1.0,0.0033678628238097,-2.4726456060309836,2,1.865,7.75,34.14,100.1,capsule,False,False
methenamine,C1N2CN3CN1CN(C2)C3,1000.0,30.246652707365826,-1.519322680223279,2,0.95,4.0,165500.0,,tablet,False,False
cannabidiol,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,200.0,0.153,-3.1163385648463824,1,2.5,11.2,499.0,6.0,solution,False,False
adagrasib,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,600.0,0.984,-2.785156151952302,1,4.17,23.0,37139.0,,,False,False
entecavir,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,1.0,0.0042,-2.3767507096020997,1,,128.0,,100.0,tablet,False,False
nalmefene,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,100.0,0.0579,-3.237321436272564,1,1.5,11.4,647.0,,tablet,False,False
calcifediol (25-hydroxyvitamin d3),C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,0.9,0.0231,-1.5906305295471805,1,11.2,60.6,3128.0,,capsule,False,False
exemestane,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,25.0,0.0128506731341202,-3.28901413152789,2,1.25,24.355,38.175,,tablet,False,False
Evobrutinib,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,100.0,0.309,-2.5100415205751654,1,0.5,2.56,434.0,,solution,False,False
zanubrutinib,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,320.0,0.5100470566526191,-2.7975397326105718,2,1.75,6.65,3152.0,,capsule,False,False
ibrutinib,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,140.0,0.0086599999999999,-4.208610143660897,1,1.5,9.4,68.8,2.9,capsule,False,False
sotorasib,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,960.0,6.309873215841978,-2.1822505999782225,2,0.96,6.51,26100.0,,tablet,False,False
futibatinib,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,20.0,0.140415894716479,-2.1536137240743023,3,1.5,2.2,625.7,,tablet,False,False
ritlecitinib,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,50.0,0.2971,-2.226067352532355,1,1.0,,651.4,64.0,capsule,False,False
mobocertinib,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,160.0,0.0544034925349466,-3.468493201708341,2,5.5,21.4,1033.5,36.7,capsule,False,False
osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,80.0,0.05896,-3.1325325121409486,1,7.0,59.7,3392.91,69.8,tablet,False,False
Lazertinib,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,240.0,0.3860854265573877,-2.7935278329525137,2,2.0,67.955,4055.085,,,False,False
vigabatrin,C=CC(N)CCC(=O)O,500.0,17.999999999999996,-1.443697499232713,1,0.8,7.5,73200.0,,tablet,False,False
cefixime,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1,200.0,3.7,-1.732828271596986,1,,11.5,,,tablet,False,False
cefdinir,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,100.0,0.88,-2.0555173278498313,1,3.68,1.78,4500.0,,capsule,False,False
cefixime,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,400.0,4.454326474412006,-1.9532779463803982,3,3.8,3.5,33110.0,40.2,capsule,False,False
secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,244.2,2.01,-2.0845496021883747,1,3.0,28.88,82900.0,,capsule,False,False
naloxegol,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OCCOCCOCCOCCOCCOCCOCCOC)CC[C@@]3(O)[C@H]1C5,25.0,0.039949217764557,-2.7964317287482454,2,0.75,9.25,185.0,,solution,False,False
cabergoline,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1.5,6.699999999999993e-05,-4.350016456354855,1,2.0,,2.55,,,False,False
almitrine,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,100.0,0.204,-2.6903698325741012,1,2.8,70.7,3796.0,,capsule,False,False
