drug_name,parameter,value,unit,context
sitagliptin,cmax,950.0,,"f sitagliptin was 8.52 µM•hr, C max was 950 nM, and apparent terminal half-l"
sitagliptin,auc,8.52,,"althy volunteers, mean plasma AUC of sitagliptin was 8.52 µM•hr, C max was 950 nM, and appare"
sitagliptin,t_half,12.4,hours,apparent terminal half-life (t 1/2 ) was 12.4 hours. Plasma AUC of sitagliptin in
sitagliptin,tmax,1.0,hours,plasma concentrations (median T max ) occurring 1 to 4 hours postdose. The absolute bioava
sitagliptin,clearance,350.0,mL/min,approximately 12.4 hours and renal clearance was approximately 350 mL/min. Metformin Following oral adm
sitagliptin,bioavailability,87.0,%,ng 1 to 4 hours postdose. The absolute bioavailability of sitagliptin is approximately 87%. Effect of Food Coadministrat
sitagliptin,protein_binding,90.0,%,"nylureas, which are more than 90% protein bound. Metformin partitions into er"
metformin,t_half,6.2,hours,"rs, with a plasma elimination half-life of approximately 6.2 hours. In blood, the elimination ha"
nifedipine,bioavailability,86.0,%,"Tablet. At steady-state, the bioavailability of the Nifedipine Extended-release Tablet is 86% relative to immediate-release"
propranolol,t_half,10.0,hours,entially. The apparent plasma half-life is about 10 hours. Enantiomers Propranolol is a
propranolol,vd,4.0,L,ntially bound to albumin. The volume of distribution of propranolol is approximately 4 liters/kg. Propranolol crosses the b
propranolol,bioavailability,90.0,%,"tended-Release Capsules, USP, bioavailability has not been investigated. Distribution Approximately 90% of circulating propranolol is"
amoxicillin,auc,35.4,mcg·hr/mL,et of amoxicillin produces an AUC 0-∞ of 35.4 ± 8.1 mcg•hr/mL and a C max o
amoxicillin,t_half,61.3,hours,Metabolism and Excretion: The half-life of amoxicillin is 61.3 minutes. Approximately 60% of an oral
amoxicillin,protein_binding,20.0,%,"amoxicillin is approximately 20% protein-bound. Following a 1 gram dose, and"
alprazolam,t_half,11.2,hours,plasma elimination half-life (T 1/2 ) of alprazolam is approximately 11.2 hours (range: 6.3 to 26.9 hours) in
alprazolam,bioavailability,100.0,%,"imately 90%, and the relative bioavailability compared to alprazolam is about 100%. The bioavailability and phar"
levofloxacin,t_half,6.0,hours,n terminal plasma elimination half-life of levofloxacin ranges from approximately 6 to 8 hours following single or multiple
levofloxacin,tmax,1.0,hours,oxacin with food prolongs the time to peak concentration by approximately 1 hour and decreases the peak concen
tacrolimus,t_half,25.0,hours,t difference in mean terminal half-life among the three ethnic groups (range from approximately 25 to 30 hours). Male and Female Patients A
tacrolimus,clearance,0.226,L/h,imus concentrations. The mean clearance of radiolabel was 0.226 ± 0.116 L/hr/kg and the mean clearance of tac
tacrolimus,protein_binding,99.0,%,ning. Distribution The plasma protein binding of tacrolimus is approximately 99% and is independent of concent
amlodipine,t_half,30.0,hours,c with a terminal elimination half-life of about 30 to 50 hours. Steady-state plasma levels o
fluoxetine,t_half,1.0,days,on of fluoxetine (elimination half-life of 1 to 3 days after acute administration an
verapamil,t_half,4.5,hours,"after repetitive dosing, the half-life increased to a range from 4.5 to 12 hours (after less than 10 consecuti"
verapamil,bioavailability,20.0,%,"rough the portal circulation, bioavailability ranges from 20% to 35%. Peak plasma concentra"
verapamil,protein_binding,90.0,%,unchanged drug. Approximately 90% is bound to plasma proteins. In patients with hepatic ins
verapamil,cmax,77.0,,administered with food had a C max of 77 ng/mL which occurred 9.0 hours afte
clarithromycin,t_half,3.0,hours,to 12 hours. The elimination half-life of clarithromycin was about 3 hours to 4 hours with 250 mg admini
acetaminophen,t_half,2.9,hours,lgesic properties. The plasma half-life is about 2.9 hours. The elimination of codeine i
acetaminophen,protein_binding,25.0,%,f of pain. Codeine is about 7–25% bound to plasma proteins and does not accumulate in bo
codeine,protein_binding,7.0,%,ssues. Codeine has low plasma protein binding with about 7% to 25% of codeine bound to pl
risperidone,t_half,3.0,hours,4% in the feces. The apparent half-life of risperidone was 3 hours (CV=30%) in extensive metabol
risperidone,bioavailability,70.0,%,s well absorbed. The absolute oral bioavailability of risperidone is 70% (CV=25%). The relative oral b
risperidone,protein_binding,90.0,%,"acid glycoprotein. The plasma protein binding of risperidone is approximately 90%, and that of its major metabo"
sertraline,cmax,165.0,,"24 hr) of 3107 ng-hr/mL, mean C max of 165 ng/mL, and mean half-life of 26.2 h"
sertraline,t_half,26.0,hours,average terminal elimination half-life of plasma sertraline is about 26 hours. Based on this pharmacokineti
metoprolol,t_half,3.0,hours,e liver. The mean elimination half-life of metoprolol is 3 to 4 hours; in poor CYP2D6 metabolizers
metoprolol,bioavailability,50.0,%,cs Absorption : The estimated oral bioavailability of immediate release metoprolol is about 50% because of pre-systemic metab
atorvastatin,t_half,14.0,hours,"tion. Mean plasma elimination half-life of atorvastatin in humans is approximately 14 hours, but the half-life of inhibit"
atorvastatin,vd,381.0,L,istration . Distribution Mean volume of distribution of atorvastatin is approximately 381 liters. Atorvastatin is ≥98% bound t
atorvastatin,bioavailability,14.0,%,ion to atorvastatin dose. The absolute bioavailability of atorvastatin (parent drug) is approximately 14% and the systemic availability
atorvastatin,protein_binding,98.0,%,381 liters. Atorvastatin is ≥98% bound to plasma proteins. A blood/plasma ratio of appr
ezetimibe,t_half,22.0,hours,eliminated from plasma with a half-life of approximately 22 hours for both ezetimibe and ezetim
ezetimibe,clearance,13.2,mL/min,nal insufficiency (creatinine clearance of 13.2 mL/min/1.73 m 2 ) who was receiving
theophylline,cmax,14.5,mcg/mL,hr/mL) 236.0±76.7 256.0±80.4 C max (mcg/mL) 14.5±4.1 16.3±4.5 C min (mcg/mL) 5
theophylline,auc,241.9,mcg·hr/mL,"armacokinetic parameters were AUC=241.9±83.0 mcg hr/mL, C max =9.3±2."
theophylline,t_half,8.0,hours,assuming a mean theophylline half-life of 8 hours. The difference between peak
theophylline,vd,0.45,L/kg,y into body fat. The apparent volume of distribution of theophylline is approximately 0.45 L/kg (range 0.3-0.7 L/kg) based
theophylline,protein_binding,40.0,%,"e systemic circulation, about 40% is bound to plasma protein, primarily albumin. Unbound t"
theophylline,tmax,8.31,hours,of peak serum concentration (T max ) was 8.31 hours. (300 mg) A single-dose cross
theophylline,clearance,3.5,L/h,urs (range 5.2-12.2) and mean clearance of 3.5 L/hour (range 2.3-5.6) as determined
ibuprofen,t_half,1.8,hours,fter the last dose. The serum half-life is 1.8 to 2.0 hours. Studies have shown that foll
lisinopril,t_half,12.0,hours,inopril exhibits an effective half-life of accumulation of 12 hours. Impaired renal function decr
lamotrigine,t_half,31.2,hours,": 33 to 108 mL/min). The mean half-life of lamotrigine in these subjects was 31.2 hours (range: 24.5 to 43.4 hours),"
lamotrigine,clearance,61.0,mL/min,"and 76 years (mean creatinine clearance = 61 mL/min, range: 33 to 108 mL/min). Th"
lamotrigine,bioavailability,98.0,%,igible first-pass metabolism (absolute bioavailability is 98%). The bioavailability is not
lamotrigine,protein_binding,55.0,%,sy and in healthy volunteers. Protein Binding Data from in vitro studies indicate that lamotrigine is approximately 55% bound to human plasma protein
midazolam,cmax,90.0,,.5 mg IV or IM dose. The mean peak concentration (C max ) and time to peak (T max ) following the IM dose was 90 ng/mL (20% CV) and 0.5 hr (50% CV).
midazolam,tmax,1.0,hours,wing the IM dose was 8 ng/mL (T max =1.0 hr). Following IM administration
midazolam,protein_binding,97.0,%,"r, midazolam is approximately 97% bound to plasma protein, principally albumin. Metabol"
midazolam,auc,6.0,ng•h/mL,x (h) C max (ng/mL) t 1/2 (h) AUC 0-∞ (ng•h/mL) 6 months to <2 years old 1 0.25
