name,mw,logP,charge_class,oatp1b1_substrate,oatp1b1_inhibitor,oatp1b3_substrate,oatp1b3_inhibitor,pgp_substrate,pgp_inhibitor,bcrp_substrate,bcrp_inhibitor,oct2_substrate,oct2_inhibitor,mrp2_substrate,mrp2_inhibitor,mate1_substrate,mate1_inhibitor
rifampin,822.9,2.42,neutral,0,1,0,1,0,1,0,0,0,0,0,1,0,0
cyclosporine,1202.6,2.92,neutral,0,1,0,1,1,1,0,1,0,0,0,1,0,0
ritonavir,720.9,4.14,base,0,1,0,1,1,1,0,1,0,0,0,1,0,0
verapamil,454.6,3.79,base,0,0,0,0,1,1,0,1,0,0,0,0,0,0
ketoconazole,531.4,4.35,base,0,0,0,0,1,1,0,0,0,0,0,0,0,0
quinidine,324.4,3.44,base,0,0,0,0,1,1,0,0,0,0,0,0,0,0
digoxin,780.9,1.26,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fexofenadine,501.7,2.18,zwitterion,1,0,1,0,1,0,0,0,0,0,0,0,0,0
loperamide,477.0,5.43,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
colchicine,399.4,1.85,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dabigatran,471.5,0.37,zwitterion,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rosuvastatin,481.5,0.13,acid,1,0,1,0,0,0,1,0,0,0,0,0,0,0
atorvastatin,558.6,4.06,acid,1,0,1,0,0,0,1,0,0,0,0,0,0,0
pravastatin,424.5,0.59,acid,1,0,1,0,0,0,0,0,0,0,1,0,0,0
pitavastatin,421.5,2.69,acid,1,0,1,0,0,0,1,0,0,0,0,0,0,0
fluvastatin,411.5,3.24,acid,1,0,0,0,0,0,1,0,0,0,0,0,0,0
simvastatin,418.6,4.68,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lovastatin,404.5,4.26,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
metformin,129.2,-1.43,base,0,0,0,0,0,0,0,0,1,0,0,0,1,0
cimetidine,252.3,0.40,base,0,0,0,0,1,0,0,0,1,1,0,0,1,1
trimethoprim,290.3,0.91,base,0,0,0,0,0,0,0,0,0,1,0,0,0,1
dolutegravir,419.4,2.46,acid,0,0,0,0,0,0,1,0,0,1,0,0,0,1
sulfasalazine,398.4,3.69,acid,0,0,0,0,0,0,1,0,0,0,0,0,0,0
prazosin,383.4,1.00,base,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nitrofurantoin,238.2,-0.47,neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lopinavir,628.8,4.89,neutral,0,1,0,1,1,1,0,1,0,0,0,1,0,0
gemfibrozil,250.3,3.44,acid,0,1,0,1,0,0,0,0,0,0,0,0,0,0
warfarin,308.3,2.70,acid,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bosentan,551.6,3.22,neutral,1,0,1,0,0,0,0,0,0,0,0,0,0,0
telmisartan,514.6,7.20,acid,1,0,1,0,0,0,0,0,0,0,0,0,0,0
irbesartan,428.5,3.61,acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olmesartan,446.5,3.83,acid,1,0,1,0,0,0,0,0,0,0,0,0,0,0
valsartan,435.5,4.10,acid,1,0,1,0,0,0,0,0,0,0,0,0,0,0
losartan,422.9,3.15,acid,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candesartan,440.5,5.23,acid,1,0,1,0,0,0,0,0,0,0,0,0,0,0
repaglinide,452.6,3.87,acid,1,0,0,0,0,0,0,0,0,0,0,0,0,0
midazolam,325.8,3.89,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
erythromycin,733.9,3.06,neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0
clarithromycin,747.9,1.83,base,0,0,0,0,1,1,0,0,0,0,0,0,0,0
azithromycin,748.9,2.47,base,0,0,0,0,1,1,0,0,0,0,0,0,0,0
itraconazole,705.6,5.66,base,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tacrolimus,804.0,3.96,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sirolimus,914.2,4.33,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
imatinib,493.6,3.74,base,0,0,0,0,1,1,1,1,0,0,0,0,0,0
gefitinib,446.9,3.16,base,0,0,0,0,1,1,1,1,0,0,0,0,0,0
erlotinib,393.4,2.21,neutral,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tamoxifen,371.5,6.30,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dexamethasone,392.5,1.83,neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0
amitriptyline,277.4,4.92,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nortriptyline,263.4,4.43,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
imipramine,280.4,4.28,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
haloperidol,375.9,3.58,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
risperidone,410.5,3.27,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
quetiapine,383.5,2.81,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
carvedilol,406.5,3.15,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
propranolol,259.3,3.48,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
metoprolol,267.4,1.88,base,0,0,0,0,1,0,0,0,0,0,0,0,0,0
